Set No.,Set Name,Player,Country,Age,Specialism,Batting,Bowling,IPL,C/U/A,Base Price
21,WK2,Shai Hope,West Indies,28,WICKETKEEPER,RHB,Not specified,0,Capped,50
21,WK2,Heinrich Klaasen,South Africa,30,WICKETKEEPER,RHB,Not specified,7,Capped,50
21,WK2,Ben Mcdermott,Australia,27,WICKETKEEPER,RHB,Not specified,0,Capped,50
21,WK2,Kusal Mendis,Sri Lanka,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,Capped,50
21,WK2,Kusal Perera,Sri Lanka,31,WICKETKEEPER,LHB,Not specified,2,Capped,50
21,WK2,Joshua Philippe,Australia,24,WICKETKEEPER,RHB,Not specified,5,Capped,100
22,FA3,Reece Topley,England,28,BOWLER,RHB,LEFT ARM Fast,0,Capped,75
22,FA3,Andrew Tye,Australia,35,BOWLER,RHB,RIGHT ARM Fast Medium,27,Capped,100
22,FA3,Sandeep Warrier,India,31,BOWLER,RHB,RIGHT ARM Fast,5,Capped,50
23,SP3,Todd Astle,New Zealand,35,BOWLER,RHB,RIGHT ARM Leg Spin,0,Capped,75
23,SP3,Akila Dhananjaya,Sri Lanka,28,BOWLER,RHB,RIGHT ARM Off Spin,1,Capped,50
23,SP3,Zahir Khan,Afghanistan,23,BOWLER,LHB,LEFT ARM Slow Unorthodox,0,Capped,50
23,SP3,Keshav Maharaj,South Africa,32,BOWLER,RHB,LEFT ARM Slow Orthodox,0,Capped,50
23,SP3,Waqar Salamkheil,Afghanistan,20,BOWLER,RHB,LEFT ARM Slow Orthodox,0,Capped,50
23,SP3,Rahul Sharma,India,35,BOWLER,RHB,RIGHT ARM Leg Spin,44,Capped,50
23,SP3,Hayden Walsh,West Indies,29,BOWLER,LHB,RIGHT ARM Leg Spin,0,Capped,50
24,UBA3,Tanmay Agarwal,India,26,BATSMAN,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
24,UBA3,Shivam Chauhan,India,24,BATSMAN,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
24,UBA3,Nikhil Gangta,India,29,BATSMAN,RHB,RIGHT ARM Off Spin,0,Uncapped,20
24,UBA3,Rohan Kadam,India,27,BATSMAN,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
24,UBA3,Tom Kohler-Cadmore,England,27,BATSMAN,RHB,Not specified,0,Uncapped,40
24,UBA3,Priyank Panchal,India,32,BATSMAN,RHB,Not specified,0,Uncapped,20
24,UBA3,Sameer Rizvi,India,18,BATSMAN,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
24,UBA3,Ritwik Roy Chowdhury,India,26,BATSMAN,RHB,Not specified,0,Uncapped,20
24,UBA3,Apoorv Wankhade,India,30,BATSMAN,RHB,RIGHT ARM Medium,0,Uncapped,20
25,UAL3,Atharva Ankolekar,India,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
25,UAL3,B. Sai Sudharsan,India,20,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
25,UAL3,Atharva Taide,India,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
25,UAL3,Tanay Thyagarajan,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
26,UWK2,Ankush Bains,India,26,WICKETKEEPER,RHB,Not specified,0,Uncapped,20
26,UWK2,Prashant Chopra,India,29,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,2,Uncapped,20
26,UWK2,Kedar Devdhar,India,32,WICKETKEEPER,RHB,Not specified,1,Uncapped,20
26,UWK2,Shreevats Goswami,India,32,WICKETKEEPER,LHB,Not specified,31,Uncapped,20
26,UWK2,Akshdeep Nath,India,28,WICKETKEEPER,RHB,Not specified,14,Uncapped,20
26,UWK2,Aditya Tare,India,34,WICKETKEEPER,RHB,Not specified,35,Uncapped,20
26,UWK2,Upendra Singh Yadav,India,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,Uncapped,20
27,UFA3,Ben Dwarshuis,Australia,27,BOWLER,LHB,LEFT ARM Fast,0,Uncapped,30
27,UFA3,Pankaj Jaswal,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
27,UFA3,Lukman Hussain Meriwala,India,30,BOWLER,LHB,LEFT ARM Fast Medium,1,Uncapped,20
27,UFA3,Vyshak Vijay Kumar,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,Uncapped,20
28,USP2,Zeeshan Ansari,India,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
28,USP2,Yuvraj Chudasama,India,26,BOWLER,LHB,RIGHT ARM Leg Spin,0,Uncapped,20
28,USP2,Dharmendrasinh Jadeja,India,31,BOWLER,LHB,LEFT ARM Slow Orthodox,0,Uncapped,20
28,USP2,Khrievitso Kense,India,18,BOWLER,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
28,USP2,Prince Balwant Rai,India,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,Uncapped,20
28,USP2,Pardeep Sahu,India,36,BOWLER,RHB,RIGHT ARM Leg Spin,5,Uncapped,20
28,USP2,Jalaj Saxena,India,35,BOWLER,RHB,RIGHT ARM Off Spin,1,Uncapped,30
